slang,formal
perdagangangading,perdagangan gading
pemaintimnas,pemain timnas
indonesiamulai,indonesia mulai
penerapanpola,penerapan pola 
sederhanaaparatur,sederhana aparatur
pemusnahanamunisi,pemusnahan amunisi
kedaluwarsadigarut,kedaluwarsa di garut
justiciafakultas,justicia fakultas
tegamencabuli,tega mencabuli
pemusnahanamunisi,pemusnahan amunisi
memperdagangangading,memperdagangkan gading
internationalundergraduate,international undergraduate
fakultasekonomika,fakultas ekonomika
fakultashukum,fakultas hukum
ditabrakmobil,ditabrak mobil
menggunakanuangpalsu,menggunakan uang palsu
mulai menjalani pemusatanlatihan,mulai menjalani pemusatan latihan
penerapanpola,penerapan pola
dilingkungan,di lingkungan
fakultashukumugm,fakultas hukum ugm
dihubungi,di hubungi
kecelakaanterjadi,kecelakaan terjadi
menggunakansepeda,menggunakan sepeda
menabraknya,menabrak nya
fakultashukumugm,fakultas hukum ugm
dugaan korupsipengadaan,dugaan korupsi pengadaan
pengusaha mudaindonesia,pengusaha muda indonesia
pihak kampusmenggelar,pihak kampus menggelar
kecepatan tinggibmw,kecepatan tinggi bmw
informasi yang beredarmengenai,informasi yang beredar mengenai
pemaintimnas,pemain timnas
pemusnahanamunisi,pemusnahan amunisi
perdagangangading,perdagangan gading
penerapanpola,penerapan pola
sederhanaaparatur,sederhana aparatur
justiciafakultas,justicia fakultas
hukumugm,hukum ugm
kedaluwarsadigarut,kedaluwarsa di garut
dariantara,dari antara
antikorupsi,anti korupsi
aplikasizoom,aplikasi zoom
menggunakanuang,menggunakan uang
palsusejak,palsu sejak
kadaluwarsaimbas,kadaluwarsa imbas
peluncurangirl,peluncuran girl
dicandi,di candi
penutupanperdaganganhari,penutupan perdagangan hari
dinaturalisasi,di naturalisasi
filmjurassic,film jurassic
waralabajurassic,waralabajurassic
kandungyang,kandung yang
penggunaanmata,penggunaan mata
orangdosendari,orang dosen dari
programbeasiswa,program beasiswa
harioperasi,hari operasi
tindakanintimidasiterhadap,tindakan intimidasi terhadap
kepadatempoditemui,kepada tempo ditemui
menyatakanijazah,menyatakan ijazah
kepadatempotelah,kepada tempo telah
aliashaji,alias haji
aktrisdemi,aktris demi
albumholy,album holy
palsujokowimasih,palsu jokowi masih
bungadeposit,bunga deposit
rentenirdan,rentenir dan
pensiunanaparatur,pensiunan aparatur
dilebak,di lebak
listriksebesar,listrik sebesar
menarikinvestasihingga,menarik investasi hingga
actiontelah,action telah
ataubanner,atau banner
ayamgorengwiduransolo,ayam goreng widuran solo
dengankremesantepung,dengan kremesan tepung
makan ayam,makan ayam
penelusurantempodalam,penelusuran tempo dalam
tidakhalal,tidak halal
pengusuldjaka,pengusul djaka
sebagaidirjen,sebagai dirjen
digitalrismon,digital rismon
ataubansos,atau bansos
presiden di,presiden di
mantanbupati,mantan bupati
gelandangreal,gelandang real
laporanantara,laporan antara
tukarrupiah,tukar rupiah
dalampembangunan,dalam pembangunan
bagipartai,bagi partai
pembangunansekolahdi,pembangunan sekolah di
politikmenuai,politik menuai
miliknyadi,miliknya di
sosialbank,sosial bank
korbanpembacokanoleh,korban pembacokan oleh
seorangjaksafungsionaris,seorang jaksa fungsionaris
mengunjungicandi,mengunjungi candi
darithe,dari the
diplatform,di platform
jutastreamingdi,juta streaming di
streamingmusik,streaming musik
kontakselama,kontak selama
orangpenumpangdinyatakanhilang,orang penumpang dinyatakan hilang
pendukungmanchester,pendukung manchester
rataminyak,rata minyak
mentahindonesia,mentah indonesia
dalampemusnahan,dalam pemusnahan
praktikpenahanan,praktik penahanan
jelaskategori,jelas kategori
menggunakanpesawat,menggunakan pesawat
merekle,merek le
penggunaantenaga,penggunaan tenaga
dikementerian,di kementerian
pengambilalihan,pengambil alihan
pembagiandividentunai,pembagian dividen tunai
gorengdinobatkan,goreng dinobatkan
hidangantumisterbaik,hidangan tumis terbaik
tibaafganmuncul,tiba afgan muncul
konserhere,konser here
dijepangdengan,di jepang dengan
menyalurkanbantuan,menyalurkan bantuan
membawanapolimenjadi,membawa napoli menjadi
sepedamotor,sepeda motor
curiandi,curian di
kawasankemayoranpada,kawasan kemayoran pada
netflixakan,netflix akan
berjudultitan,berjudul titan
oceangate,ocean gate
ataudprmengatakan,atau dpr mengatakan
