Judul Artikel,URL Artikel,Kategori,Isi Artikel,Halaman
Polisi Bongkar Sindikat Penjualan Gading Gajah,https:/ / www. tempo. co/ hukum/ polisi- bongkar- sindikat- penjualan- gading- gajah- 1553729,hukum,"TEMPO. CO, Jakarta-  Direktorat Tindak Pidana Tertentu  (Dittipidter)  Badan Reserse Kriminal Polri membongkar sindikat perdagangan gading gajah.  Penyidik telah menetapkan empat tersangka,  yaitu IR,  EF,  SS,  dan JF.  “Setiap orang dilarang menyimpan,  memiliki,  mengangkut dan/ atau memperdagangkan spesimen bagian- bagian atau barang- barang yang dibuat dari bagian satwa yang dilindungi, "" kata Direktur Tindak Pidana Tertentu Bareskrim Polri Brigadir Jenderal Nunung Syaifuddin di Gedung Bareskrim Polri,  Jakarta,  Senin,  26 Mei 2025,  seperti dikutip dariAntara. ",1
Timnas Indonesia Gelar Latihan Perdana untuk Kualifikasi Piala Dunia 2026,https:/ / www. tempo. co/ sepakbola/ timnas- indonesia- gelar- latihan- perdana- untuk- kualifikasi- piala- dunia- 2026- 1553728,olahraga,"TEMPO. CO, Jakarta-  Sebanyak 22 pemain Timnas Indonesia mulai menjalani pemusatan latihan perdana untuk dua laga terakhir putaran ketiga Kualifikasi Piala Dunia 2026 zona Asia.  Skuad Garuda akan menghadapi Cina dan Jepang pada 5 dan 10 Juni 2025. ",1
MA Terbitkan 11 Pola Hidup Sederhana Aparatur Peradilan Umum.  Apa Respons KPK?,https:/ / www. tempo. co/ hukum/ ma- terbitkan- 11- pola- hidup- sederhana- aparatur- peradilan- umum- apa- respons- kpk- - 1553675,hukum,"TEMPO. CO, Jakarta- Komisi Pemberantasan Korupsi  (KPK)  mengapresiasi Mahkamah Agung  (MA)  atas terbitnya Surat Edaran alias SE Nomor 4 Tahun 2025 tentang Penerapan Pola Hidup Sederhana Aparatur Peradilan Umum.  Juru bicara KPK Budi Prasetyo mengatakan imbauan berisi larangan hidup hedonis bagi aparat pengadilan itu sejalan dengan semangat anti korupsi. ",1
TNI soal Keterlibatan Warga saat Peledakan Amunisi di Garut: Bantu Masak hingga Gali Lubang,https:/ / www. tempo. co/ politik/ tni- soal- keterlibatan- warga- saat- peledakan- amunisi- di- garut- bantu- masak- hingga- gali- lubang- 1553722,politik,"TEMPO. CO, Jakarta-  Kepala Dinas Penerangan TNI Angkatan Darat  (TNI AD)  Brigadir Jenderal Wahyu Yudhayana mengatakan,  ada keterlibatan masyarakat sipil dalam proses pemusnahan amunisi kedaluwarsa di Garut,  Jawa Barat.  Kegiatan yang dilakukan pertengahan Mei lalu itu menyebabkan empat personel militer dan sembilan warga tewas. ",1
"Mahasiswa Fakultas Hukum UGM Tewas Ditabrak Mobil,  Dema Gelar Doa Bersama",https:/ / www. tempo. co/ politik/ mahasiswa- fakultas- hukum- ugm- tewas- ditabrak- mobil- dema- gelar- doa- bersama- 1553716,politik,"TEMPO. CO, Yogyakarta-  Dewan Mahasiswa Justicia Fakultas Hukum Universitas Gadjah Mada  (UGM)  akan menggelar doa bersama untuk Argo Ericko Achfandi,  korban tewas usai ditabrak mobil.  Kendaraan itu dikendarai mahasiswa International Under graduate Program Fakultas Ekonomika dan Bisnis UGM berinisial CPP.  Ketua Dewan Mahasiswa atau Dema Justicia Fakultas Hukum UGM,  Radea Basukarna Prawira Yudha menyebutkan doa bersama dan tabur bunga merupakan bentuk dukungan dan solidaritas terhadap Argo.  Doa bersama ini berlangsung di depan patung Dewi Keadilan di halaman Fakultas Hukum UGM pada Senin malam,  26 Mei 2025.  Dema Justicia,  kata Radea mengundang seluruh sivitas UGM bergabung dalam doa tersebut dan mengenakan baju berwarna hitam sebagai simbol berkabung.  Dema juga menyediakan mimbar bagi siapapun untuk berbicara tentang penegakan hukum kasus tersebut.  Dema telah berkomunikasi dengan ibunda korban dan mendukung doa bersama tersebut. “ Ibu korban kami jadwalkan bergabung melalui aplikasizoom, "" kata Radea dihubungi melalui sambungan telepon,  Senin,  26 Mei 2025.  Sehari setelah kecelakaan,  media sosial X  (sebelumnya Twitter)  ramai dengan tagarJustice for Argo.  Pengguna X mendesak polisi transparan menangani kasus tersebut.  Sebagian besar menyerukan keadilan terhadap korban dan menduga penabrak menyetir dalam pengaruh alkohol.  Tapi,  Polres Sleman membantah tuduhan itu berdasarkan hasil pengecekan urin pelaku.  Polres belum menahan pelaku dengan alasan dalam proses penyelidikan.  Kecelakaan terjadi saat Argo pulang dari kampus menuju rumah kosnya.  Di kampus,  Argo menjadi panitia acara pentas olahraga dan seni.  Argo,  mahasiswa semester dua,  aktif dalam berbagai kegiatan organisasi kemahasiswaan.  Dia masuk UGM melalui Seleksi Nasional Mahasiswa Baru jalur prestasi dan mendapatkan beasiswa.  Argo hidup bersama ibunya.  Ayahnya meninggal saat ia berumur 7 tahun.  Argo merupakan anak pertama dari dua bersaudara yang menjadi tumpuan ibunya.  Adapun,  penabrak merupakan fungsionaris Himpunan Pengusaha Muda Indonesia Perguruan Tinggi UGM periode 2024- 2025.  Anggota HIPMI PT UGM dipersiapkan untuk kaderisasi calon anggota HIPMI yang berasal dari mahasiswa.  HIPMI PT UGM melalui akun Instagram bernama hipmiptugm menyatakan menonaktifkan keanggotaan dari HIPMI PT UGM.  Akun tersebut juga menyebutkan HIPMI mendukung proses hukum dan pengusutan tuntas kecelakaan.  Fakultas Hukum telah menghimpun keterangan dari polisi ihwal peristiwa itu.  Argo,  18,  tewas di Simpang Tiga Jalan Palagan Tentara Pelajar,  Dusun Sedan,  Sariharjo,  Ngaglik,  Sleman pada pukul 01. 00 WIB setelah ditabrak BMW yang dikendarai CPP.  Menggunakan sepeda motor,  Argo melaju dari arah selatan ke utara di Jalan Palagan.  Saat BMW menabraknya,  ia hendak berputar arah ke selatan.  Mobil BMW yang dikemudikan CPP,  21,  melaju dengan kecepatan tinggi.  Argo terpental bersama sepeda motornya.  Dia cedera berat di kepala dan tewas di lokasi kecelakaan.  BMW itu juga membentur mobil Honda CRV yang terparkir di tepi jalan.  Jenazah Argo saat itu dibawa ke Rumah Sakit Bhayangkara Polda DIY dan dikirim ke rumah duka keluarga korban di Kecamatan Cilodong,  Kota Depok,  Jawa Barat pada Sabtu siang. Dekan Fakultas Hukum Universitas Gadjah Mada Yogyakarta,  Dahliana Hasan mengatakan datang ke RS Bhayangkara dan melepas jenazah Argo.  Fakultas Hukum memberikan pendampingan hukum terhadap keluarga korban Pusat Konsultasi dan Bantuan Hukum atau PKBH Fakultas Hukum.  Dahliana menyebutkan Fakultas Hukum memberikan ruang kepada mahasiswa yang menggelar doa bersama.  “Kami dukung sebagai bentuk empati terhadap Argo dan keluarga, ” kata Dahliana.    Pilihan Editor: Mahasiswa Fakultas Hukum UGM Tewas Ditabrak Mobil,  Dekan: Harus Dusut Tuntas ",1
Stefano Lilipaly Nilai Timnas Indonesia Sudah Berada di Level Tinggi,https:/ / www. tempo. co/ sepakbola/ stefano- lilipaly- nilai- timnas- indonesia- sudah- berada- di- level- tinggi- 1553713,olahraga,"TEMPO. CO, Jakarta-  Gelandang Timnas Indonesia Stefano Lilipaly mengaku terkesan dengan kualitas skuad Garuda menjelang dua pertandingan terakhir kualifikasi Piala Dunia 2026 zona Asia.  ""Saya sudah lihat beberapa pertandingan terakhir,  sangat bagus dan kuat.  Sekarang banyak pemain dari Eropa,  mereka main di kompetisi yang bagus, "" ujar dia melalui kanal YouTube Timnas Indonesia pada Senin,  26 Mei 2025. ",1
Belajar Otodidak Dua Remaja di Kupang Cetak Uang Palsu untuk Beli Motor,https:/ / www. tempo. co/ hukum/ belajar- otodidak- dua- remaja- di- kupang- cetak- uang- palsu- untuk- beli- motor- 1553702,hukum,"TEMPO. CO, Jakarta-  Aparat Kepolisian dari Polresta Kupang Kota meringkus dua remaja berinisial YN  (20)  dan HN  (25)  yang terbukti mencetak dan menggunakan uang palsu sejak April 2025 di tiga lokasi di Kota Kupang,  Provinsi Nusa Tenggara Timur  (NTT) . ",1
TNI Bakal Ubah SOP Peledakan Amunisi Kedaluwarsa Buntut Kasus di Garut,https:/ / www. tempo. co/ politik/ tni- bakal- ubah- sop- peledakan- amunisi- kedaluwarsa- buntut- kasus- di- garut- 1553712,politik,"TEMPO. CO, Jakarta- Panglima TNI Jenderal Agus Subiyanto menyatakan instansinya akan mengubah standar operasional prosedur  (SOP)  pemusnahan amunisi kedaluwarsa imbas peristiwa ledakan di Garut,  Jawa Barat pada pertengahan Mei lalu.  Hal itu ia sampaikan usai menghadiri rapat bersama Komisi I DPR. ",1
YG Entertainment akan Kenalkan Girl Group Baru 4 Anggota,https:/ / www. tempo. co/ teroka/ yg- entertainment- akan- kenalkan- girl- group- baru- 4- anggota- 1553710,hiburan,"TEMPO. CO, Jakarta-  Agensi hiburan Korea Selatan,  YG Entertainment mengumumkan peluncuran girl group baru beranggotakan empat orang yang dijadwalkan mulai diperkenalkan kepada publik pada Rabu,  28 Mei mendatang.  Langkah ini menjadi bagian dari strategi YG Entertainment untuk memperkuat posisi mereka di pasar global K- pop,  menyusul debut BABYMONSTER pada 2023 lalu. ",1
Fadli Zon Bantah Pembangunan Eskalator di Candi Borobudur: Itu Chairlift,https:/ / www. tempo. co/ politik/ fadli- zon- bantah- pembangunan- eskalator- di- candi- borobudur- itu- chairlift- 1553709,politik,"TEMPO. CO, Jakarta-  Menteri Kebudayaan Fadli Zon menyatakan tak ada rencana pembangunan eskalator di Candi Borobudur.  Fadli menyebut informasi yang beredar mengenai pembangunan lift atau eskalator di adalah berita palsu atau hoaks. ",1
